Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01
set,14325.46,14190.9,14180.05,14232.12,14189.93,14105.61
under,9842.45,9805.33,9920.78,9905.63,9904.33,9918.59
general,6334.19,6310.86,6238.25,6240.24,6259.33,6251.03
research,16873.63,16714.41,16564.52,16493.04,16507.99,16420.92
university,19756.49,19411.81,19107.32,18882.06,18787.28,18714.01
january,6975.11,7133.72,7305.29,7446.22,7569.98,7688.33
mail,1652.77,1582.5,1548.46,1618.78,1586.74,1580.57
full,5406.88,5416.44,5390.92,5353.75,5295.34,5317.86
map,2957.91,3000.26,2994.33,2955.24,2922.98,2896.82
reviews,2660.31,2688.25,2697.08,2698.23,2742.28,2760.44
program,9799.32,9712.98,9562.95,9499.94,9487.87,9455.84
life,4406.24,4408.03,4397.39,4412.69,4418.21,4402.31
know,1506.99,1490.98,1469.3,1445.59,1388.98,1368.35
games,11217.46,11406.97,11658.25,11783.0,11960.27,12004.06
way,6897.48,6795.09,6768.13,6745.57,6630.03,6570.51
days,2104.78,2138.29,2144.58,2157.32,2166.06,2188.13
management,9107.5,9000.77,8859.4,8723.37,8633.23,8510.41
p,8603.73,8195.38,7920.79,7696.91,7551.36,7462.31
part,9650.95,9727.12,9765.69,9799.66,9777.92,9770.73
could,9356.8,9470.03,9496.71,9656.52,9818.25,9865.73
great,1680.38,1660.71,1660.73,1651.99,1633.27,1639.56
united,6415.27,6539.66,6710.78,6747.15,6802.2,6850.92
hotel,396.8,370.25,380.45,376.42,360.62,363.92
real,6629.2,6545.49,6462.0,6467.21,6467.17,6473.21
f,3987.01,3835.6,3742.3,3540.44,3493.78,3499.78
item,1169.71,1178.14,1152.66,1130.85,1112.89,1103.26
international,8303.54,8322.68,8203.51,7981.6,7912.76,7872.97
center,6380.77,6061.25,6060.55,6054.41,6005.73,5976.75
ebay,176.84,169.73,164.78,158.16,154.33,150.93
must,6071.09,6044.61,6017.74,6058.36,6048.38,5989.77
store,3999.95,4047.77,4032.29,3958.77,3958.32,3951.04
travel,1249.07,1281.31,1285.94,1280.31,1271.87,1260.32
comments,952.33,957.65,912.76,911.8,915.13,890.27
made,9336.95,9390.15,9449.86,9562.42,9653.06,9712.5
development,12899.56,12854.68,12738.21,12765.18,12779.23,12825.37
report,3239.12,3223.24,3251.19,3310.31,3258.79,3253.84
off,3984.42,3999.51,3991.9,4012.55,4028.89,4133.39
member,4336.37,4360.61,4441.82,4426.14,4425.19,4396.94
details,1585.49,1545.06,1516.95,1479.6,1501.43,1510.08
line,5619.94,5581.18,5614.67,5573.6,5529.55,5484.11
terms,3043.31,3067.65,3104.18,3103.12,3085.07,3099.85
before,6945.78,7064.66,7146.16,7203.45,7272.17,7351.99
hotels,140.61,133.12,142.97,140.76,129.51,130.25
did,3943.88,3990.36,4033.09,4103.49,4147.55,4191.61
send,1564.79,1579.17,1563.8,1553.14,1523.92,1514.68
right,4815.12,4878.95,4931.31,4916.44,4862.59,4848.21
type,6926.81,6729.36,6754.4,6773.25,6778.93,6772.01
because,7396.07,7433.25,7476.53,7454.92,7422.63,7391.06
local,4681.42,4668.45,4625.98,4594.58,4561.68,4565.5
those,5701.89,5735.1,5789.95,5823.49,5804.09,5844.2
using,20701.92,20730.56,20764.82,20851.16,20892.08,20912.87
results,4381.23,4306.53,4253.61,4238.72,4214.25,4201.57
office,3749.79,3756.56,3888.51,3881.27,3848.19,3928.82
education,3090.75,3067.65,3039.56,3030.37,3052.5,3025.53
national,7854.12,7849.26,7807.71,7719.05,7748.35,7768.01
car,1038.59,1010.9,1035.54,1013.81,1004.32,995.23
design,10937.97,10796.27,10740.65,10752.58,10746.56,10761.36
take,4257.01,4291.55,4302.88,4303.56,4252.25,4207.7
posted,1148.14,1171.48,1210.82,1221.79,1227.67,1203.62
internet,12224.99,11974.4,11758.41,11559.2,11511.23,11361.26
address,3611.77,3604.3,3570.25,3550.72,3529.45,3544.98
community,5323.2,5307.44,5233.41,5211.41,5196.07,5216.72
within,8439.83,8424.18,8425.64,8384.12,8471.15,8505.81
states,7831.69,7935.79,8044.38,8036.95,8063.22,8094.39
area,4028.42,3961.24,3931.32,3875.74,3846.64,3800.88
want,1357.76,1347.87,1317.44,1320.64,1305.22,1278.71
phone,3926.63,3853.91,3752.0,3682.78,3630.27,3613.17
dvd,668.53,653.97,631.66,617.62,605.69,603.73
shipping,332.97,331.98,332.79,337.67,337.36,334.04
reserved,262.24,271.24,261.71,261.76,252.82,255.13
subject,1958.14,1940.27,1928.1,1929.57,1946.59,1957.52
between,14821.47,14835.71,14901.37,14890.07,14913.5,14932.29
forum,1459.55,1451.87,1399.02,1401.31,1373.47,1362.22
family,3391.81,3374.66,3467.67,3409.16,3427.08,3397.11
l,3980.11,3828.11,3721.3,3630.59,3531.78,3484.46
long,4217.33,4259.93,4244.72,4248.21,4212.69,4224.56
based,26794.58,26649.54,26583.85,26685.73,26705.48,26619.93
w,3343.5,3108.42,3016.95,2963.94,2889.64,2902.95
code,11099.28,10877.8,10832.73,10919.44,10786.89,10714.63
show,4381.23,4402.21,4403.85,4418.23,4418.99,4419.93
o,3658.35,3523.6,3480.59,3447.91,3395.28,3333.52
even,5659.62,5666.87,5652.63,5666.91,5591.59,5550.77
black,3319.35,3416.27,3758.46,3731.02,3716.35,3712.0
check,1129.16,1107.42,1099.35,1083.4,1071.79,1071.85
special,4297.55,4250.78,4202.72,4196.8,4144.45,4160.2
prices,429.58,435.15,424.07,427.83,427.32,430.58
website,7781.66,7677.86,7599.31,7541.91,7455.97,7422.47
index,2283.34,2226.48,2127.61,2051.35,2048.96,2042.56
