Date,CS,Art,Bio,Sports,Phy,Philosophy,Chem,Math
20220217,288.40248828566814,201.78302696355178,230.06568768240143,235.26800242865818,232.43627184081572,278.93660456573076,201.06440504103165,226.87428401714115
20220218,277.13055420908063,199.5468136037216,218.57919117987677,232.6009107468124,220.41533435628372,267.6119653634217,190.8229777256741,212.82239382239382
20220219,242.35773145904022,211.77227767490177,199.92838282299533,241.3651487553127,211.4954214720586,252.24408291786932,169.07132913247364,179.4289108574823
20220220,251.38251736952657,230.08518133778963,211.39755408347617,272.53023679417123,228.26941543335147,267.10921018105483,177.9736225087925,192.53163053163053
20220221,285.4672160284376,224.783930265119,227.654792236068,245.2367941712204,254.05390288571004,288.75255838362636,198.56649325908558,221.85277270991557
20220222,290.09872354176764,224.18056998328893,231.81771436512716,217.74784456587736,265.36044151858636,291.3078981894516,206.3589903282532,228.3801603801604
20220223,289.6511229600905,221.11923580687412,233.68596840691157,212.5086217364906,262.2630302430332,288.1671477302545,209.9095105509965,226.1302982731554
20220224,277.6876393601551,200.0860394742785,214.9042942511697,204.50959319975715,260.1955155174974,278.62198897927055,224.10144343493553,213.39314353600068
20220225,278.45015349814184,186.34700329705072,204.9871218789086,203.96035215543412,242.8532891154779,267.1658882183154,207.0534876905041,204.55755441469728
20220226,249.16603651640006,166.66189422338647,184.30231157641174,201.83861566484518,202.7904766618819,245.08291786932563,177.1199809495897,172.998514998515
20220227,260.29642914848927,181.03012510726705,196.20220503080557,216.2367941712204,228.1744295401673,263.12448176331674,196.03469372801877,186.53812210955067
20220228,282.57062530295684,183.5713834063502,214.80048177143652,202.39283545840922,252.51571548779884,276.8191025977434,217.6547845838218,216.52395095252237
20220301,289.0074002262078,178.26575132107854,213.00991337378977,195.32222222222222,274.1361183982577,275.15366045657305,208.53637895662368,217.60507446221732
20220302,291.72767813863305,179.8074612709453,215.9329225923009,185.73139040680024,245.44018215116566,280.84964576226713,208.64888628370457,218.20866392294963
20220303,285.1529487800937,179.25003387380877,215.6359382961968,188.76697024893747,231.79305053704894,271.8323799527683,206.1429513481829,213.88022402308115
20220304,271.58128938439165,171.71004019691975,204.64515680733774,290.40892531876136,241.18853635598674,257.8792442928365,197.54062866354045,201.22427765284908
20220305,230.86805622879302,164.17926019601643,189.72168434706074,245.89162112932604,189.90996386675246,247.2271319863553,175.7682444314185,170.07017692731978
