Date,de,en,es,fr,CS
20200327,280.7815087396504,1612.7060543515652,980.2009523809523,266.43598615916954,
20200328,245.14167433302669,1650.9272445820434,931.4895238095238,258.0006920415225,
20200329,299.3265869365225,1705.6689026487788,938.1561904761904,287.7903114186851,
20200330,288.87764489420425,1657.8882008943929,931.6361904761904,295.97024221453285,
20200331,284.61177552897885,1599.078087375301,906.5809523809523,291.38131487889274,
20200401,263.10303587856487,1569.454936360509,901.624761904762,272.0456747404844,
20200402,269.02575896964123,1579.3016855865153,958.7247619047619,287.5750865051903,
20200403,263.11085556577734,1585.3138974888202,858.6019047619047,272.7930795847751,
20200404,236.01747930082797,1614.0725834193327,761.1133333333333,248.88027681660898,
20200405,249.56255749770008,1710.6446508427932,836.84,263.283044982699,
20200406,253.8491260349586,1635.2578259373925,831.1428571428571,284.55570934256053,
20200407,233.06439742410305,1601.3654970760233,783.9485714285714,275.33979238754324,
20200408,228.70101195952162,1577.9788441692467,768.4304761904762,274.9072664359862,
20200409,237.89098436062557,1617.2287581699347,780.0038095238095,286.080276816609,
20200410,298.29622815087396,1646.5056759545923,845.5752380952381,279.10103806228375,
20200411,265.24609015639373,1708.1938424492605,878.9790476190476,275.280276816609,
20200412,290.79346826126954,1452.1221190230478,874.1828571428572,296.6685121107266,
20200413,321.0294388224471,1669.5383556931545,838.7190476190476,293.54532871972316,
20200414,282.48942042318305,1542.1346749226007,824.3247619047619,285.5017301038062,
20200415,278.2010119595216,960.7793257653939,827.552380952381,268.6173010380623,
20200416,243.61867525298987,934.9571723426212,837.124761904762,272.01868512110724,
20200417,238.76540938362464,944.6778465772273,823.2742857142857,267.6069204152249,
20200418,254.7851885924563,1001.9425524595803,784.472380952381,271.7231833910035,
20200419,285.2272309107636,1091.015995872033,848.0057142857142,289.9121107266436,
20200420,268.27368905243793,998.7899896800826,951.8580952380952,281.88581314878894,
20200421,276.99218031278747,977.436360509116,1019.3742857142857,279.67612456747406,
20200422,281.8022079116835,946.7008943928448,1025.3780952380953,264.57093425605535,
20200423,279.7184912603496,939.1174750601995,1049.8628571428571,252.85397923875433,
20200424,282.5317387304508,884.3620571035432,977.5161904761904,251.54809688581315,
20200425,264.3109475620975,902.6226350189198,950.5104761904762,260.88581314878894,
20200426,284.01701931922724,1027.295149638803,892.3180952380952,292.78269896193774,
20200427,280.7994480220791,988.1425868593051,992.9,301.0608996539792,
20200428,284.2654093836247,949.2715858273134,978.2476190476191,290.78615916955016,
20200429,275.5321987120515,953.9084967320262,963.3266666666667,274.8083044982699,
20200430,347.646274149034,951.9320605435156,925.4666666666667,294.7903114186851,
20200501,282.8403863845446,908.2616099071207,865.4704761904762,299.84359861591696,
20200502,269.7989880404784,982.531131750946,823.4285714285714,298.5370242214533,
20200503,307.85924563017477,1006.6687306501548,848.6914285714286,311.5681660899654,
20200504,279.2033118675253,955.8763329893361,906.6123809523809,382.3031141868512,
20200505,306.93836246550137,929.514619883041,921.7066666666667,318.1930795847751,
20200506,291.1366145354186,918.3073615411076,940.087619047619,270.78615916955016,
20200507,291.8836246550138,888.7801857585139,930.9028571428571,265.34948096885813,
20200508,270.696872125115,906.0497076023391,884.3523809523809,259.70173010380626,
20200509,316.8422263109476,942.8797729618163,777.4609523809523,261.80346020761243,
20200510,327.8744250229991,946.078603371173,765.4,291.5847750865052,
20200511,322.71251149954,924.4965600275198,923.2752380952381,273.15570934256056,
20200512,313.7681692732291,880.407636738906,921.4657142857143,265.5494809688581,
20200513,308.1145354185833,865.6458548331614,905.7542857142857,244.90865051903114,
20200514,276.2589696412144,872.1491228070175,892.4047619047619,253.08512110726645,
20200515,260.9484820607176,850.3307533539731,854.2819047619048,233.01176470588234,
20200516,251.0064397424103,894.0498796009632,739.76,221.10242214532872,
20200517,277.9480220791168,921.749914000688,764.8552380952381,232.0228373702422,
20200518,265.39052437902484,1024.6515307877537,900.8171428571428,243.48442906574394,
20200519,254.4259429622815,892.0032679738562,1045.8028571428572,234.32110726643597,
20200520,244.2046918123275,867.375128998968,936.5571428571428,223.35709342560554,
20200521,253.7364305427783,816.765221878225,912.5152380952381,215.19377162629758,
20200522,254.40340386384545,816.5283797729618,891.5371428571428,223.55640138408305,
20200523,283.4190432382705,842.9019607843137,746.9209523809524,239.01245674740485,
20200524,296.45814167433304,864.0878912968697,799.1933333333334,235.9743944636678,
20200525,278.86890524379027,887.6537667698658,953.7495238095238,263.49273356401386,
20200526,252.62695492180313,887.8783969728242,872.6580952380953,234.4878892733564,
20200527,245.85096596136154,883.9005847953216,857.2580952380953,211.29342560553633,
20200528,241.1126954921803,850.8218094255246,842.1257142857143,205.6242214532872,
20200529,223.41076356945723,827.2050223598211,798.2904761904762,217.43044982698962,
20200530,221.72723091076358,848.2638458892329,677.552380952381,191.92387543252596,
20200531,277.123735050598,876.3923288613692,758.027619047619,224.7287197231834,
20200601,284.8003679852806,833.3654970760234,846.875238095238,232.44775086505192,
20200602,242.2621895124195,802.483832129343,823.6780952380952,208.1993079584775,
20200603,238.07819687212512,812.609563123495,820.6409523809524,208.4152249134948,
20200604,238.73505059797608,805.2805297557619,809.9752380952381,224.03114186851212,
20200605,229.23689052437902,793.9494324045407,785.212380952381,201.48927335640138,
20200606,230.2953081876725,850.0868593051256,674.6361904761904,198.79446366782008,
20200607,272.8992640294388,890.8525971792226,699.067619047619,209.9114186851211,
20200608,256.8068077276909,844.1302029583763,743.5514285714286,218.66851211072665,
20200609,251.09797608095676,854.3352253181974,735.2190476190476,220.3134948096886,
20200610,246.68629254829807,860.8267973856209,727.4885714285714,211.9294117647059,
20200611,256.8666053357866,833.0519435844514,717.0828571428572,217.28719723183391,
20200612,299.9057037718491,813.3942208462332,674.1590476190477,207.55640138408305,
20200613,231.8298068077277,831.3481252149983,589.2209523809523,201.79515570934257,
20200614,284.221251149954,880.1835225318198,602.8666666666667,211.68512110726644,
20200615,260.29438822447105,824.623839009288,650.3961904761904,220.43529411764706,
20200616,247.47010119595217,821.0799793601651,668.7342857142858,207.6961937716263,
20200617,235.03219871205152,793.3273133814929,651.5238095238095,193.37508650519032,
20200618,241.76310947562098,797.3501891984864,634.8428571428572,189.87750865051902,
20200619,231.27966881324747,828.624699002408,609.4228571428572,213.9515570934256,
20200620,223.09613615455382,853.5803233574131,542.0685714285714,222.240830449827,
20200621,260.63615455381785,899.5056759545923,540.552380952381,237.34809688581313,
20200622,226.27000919963203,822.4269005847954,584.4828571428571,203.4968858131488,
20200623,220.71803127874884,808.2378740970072,577.62,196.1190311418685,
20200624,211.35326586936523,765.7566219470244,581.3333333333334,188.89826989619377,
20200625,215.836246550138,780.0352597179223,586.3161904761905,188.59238754325258,
20200626,211.76172953081877,821.5588235294117,556.9704761904762,185.59584775086506,
20200627,210.46734130634775,817.7621259029928,525.172380952381,191.25813148788927,
20200628,244.64995400183992,914.7937736498108,571.5561904761905,218.20346020761247,
20200629,236.72585096596137,809.6233230134159,577.8428571428572,187.15432525951556,
20200630,231.64811407543698,770.4511523907809,568.2971428571428,178.18546712802768,
20200701,231.43560257589695,780.0846233230134,547.0504761904762,179.8892733564014,
20200702,241.90570377184912,781.1673546611627,548.6771428571428,174.4249134948097,
20200703,237.6292548298068,808.9865841073272,539.6047619047619,173.80138408304498,
20200704,237.52253909843606,975.3553491572068,502.70285714285717,184.68096885813148,
20200705,263.4273229070837,916.811661506708,535.5609523809524,194.361937716263,
20200706,241.86614535418585,844.3825249398005,540.5057142857142,178.17231833910034,
20200707,225.96458141674333,821.858101135191,513.1647619047619,165.28650519031143,
20200708,226.17341306347745,797.8842449260405,642.384761904762,173.1771626297578,
20200709,236.6099356025759,780.3396972824218,533.9142857142857,172.73702422145328,
20200710,222.524379024839,770.1491228070175,513.8971428571429,174.48581314878894,
20200711,254.74517019319228,803.3706570347438,495.54857142857145,181.13079584775087,
20200712,256.4461821527139,824.4566563467492,526.2438095238095,196.680276816609,
20200713,225.43698252069916,812.8450292397661,549.6657142857143,182.44498269896195,
20200714,227.7506899724011,763.5493636050911,525.1866666666666,197.56608996539794,
20200715,226.57129714811407,754.219642242862,515.927619047619,181.68996539792388,
20200716,223.8569457221711,765.936704506364,517.9580952380952,182.7349480968858,
20200717,220.7240110395584,764.6570347437221,525.6085714285714,181.25190311418686,
20200718,213.57957681692733,807.9941520467836,493.3933333333333,182.04429065743943,
20200719,244.50827966881326,858.9251805985552,527.5295238095238,242.3038062283737,
20200720,225.0482980680773,877.9270725834193,533.4609523809523,197.07750865051904,
20200721,221.98804047838087,790.6947024423805,516.504761904762,185.24429065743945,
20200722,218.8196872125115,769.8715170278638,502.9295238095238,177.68719723183392,
20200723,223.53633854645815,786.015307877537,526.4447619047619,186.3916955017301,
20200724,222.84636614535418,772.4826281389749,509.9238095238095,178.10934256055364,
20200725,223.9921803127875,792.3699690402477,485.3019047619048,212.36885813148788,
20200726,265.04415823367066,861.421740626075,516.7457142857143,222.46989619377163,
20200727,221.83302667893284,790.0517715858273,516.8171428571428,197.13771626297577,
20200728,227.70929162833485,760.8747850017199,505.0,187.01245674740485,
20200729,222.39190432382705,771.5073959408325,500.23809523809524,180.6553633217993,
20200730,210.91260349586017,727.8384932920536,505.67619047619047,175.28581314878892,
20200731,218.41076356945723,697.8942208462332,504.54571428571427,172.5612456747405,
20200801,210.08509659613617,726.1506707946337,479.62285714285713,188.9453287197232,
20200802,254.10763569457222,772.4588923288613,524.3038095238095,200.25467128027682,
20200803,213.18997240110394,719.6926384588924,534.9819047619047,191.48373702422145,
20200804,214.53771849126034,724.4110767113863,514.1628571428571,189.62629757785467,
20200805,248.06439742410305,804.1830065359477,520.1619047619048,174.7764705882353,
20200806,228.46320147194112,776.6016511867905,516.7733333333333,182.36955017301037,
20200807,199.85234590616375,704.6529067767458,497.0704761904762,185.0726643598616,
20200808,207.10395584176632,730.1830065359477,467.9971428571429,182.88512110726643,
20200809,224.14535418583256,798.9162366701066,514.0019047619047,199.75432525951558,
20200810,219.9655013799448,778.9944960440316,534.54,189.26020761245675,
20200811,212.8390064397424,747.9661162710698,540.0238095238095,188.7432525951557,
20200812,215.03081876724931,771.5681114551084,549.8295238095238,188.51003460207613,
20200813,213.22217111315547,741.4353285173719,512.3457142857143,195.91072664359862,
20200814,213.6136154553818,739.8364293085656,514.7580952380953,207.638062283737,
20200815,207.1904323827047,766.4736842105264,480.49619047619046,196.16262975778545,
20200816,226.79208831646733,816.4349845201239,512.0542857142857,203.80484429065743,
20200817,212.60717571297147,764.4643962848297,555.6847619047619,192.160553633218,
20200818,216.99264029438822,739.2519779841762,549.1104761904762,198.34532871972317,
20200819,228.4144434222631,728.7461300309598,545.8619047619047,220.6332179930796,
20200820,219.45078196872126,713.217750257998,554.0076190476191,186.51418685121106,
20200821,200.86982520699172,741.1744066047472,531.0666666666667,184.43737024221454,
20200822,196.91858325666973,766.3154454764361,470.46761904761905,202.44290657439447,
20200823,228.6586936522539,816.9858961128311,508.01142857142855,220.6885813148789,
20200824,224.1292548298068,775.2471620227038,588.7609523809524,194.48373702422145,
20200825,214.18583256669734,766.0123839009287,609.1457142857142,208.48373702422145,
20200826,222.8592456301748,774.9035087719299,615.2466666666667,208.42076124567475,
20200827,219.6996320147194,800.641210870313,612.8580952380952,184.8249134948097,
20200828,203.72539098436062,812.0803233574131,581.6104761904762,193.0242214532872,
20200829,206.3684452621895,810.1998624011007,502.17333333333335,204.05328719723184,
20200830,249.70653173873046,858.9929480564156,521.9419047619048,211.86989619377164,
20200831,232.27644894204232,803.4005847953216,600.3314285714285,175.1273356401384,
