Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01
discussion,54.0,55.47,46.66,50.51,46.68,47.29
archive,44.0,37.3,35.46,28.36,26.31,31.53
once,142.0,151.11,150.24,151.53,148.54,142.7
others,182.0,195.11,182.9,193.17,190.98,189.99
entertainment,67.0,73.64,69.05,70.0,68.75,68.86
agreement,39.0,33.47,33.59,31.9,30.56,36.5
format,130.0,135.81,136.24,128.49,129.02,131.08
least,195.0,216.15,213.69,211.78,210.5,206.58
society,202.0,190.33,186.63,170.13,172.31,170.91
months,53.0,63.12,66.25,62.03,63.66,63.88
log,30.0,30.61,32.66,33.67,33.95,31.53
safety,125.0,138.68,135.31,131.15,145.99,152.65
friends,54.0,59.3,59.72,55.83,54.32,55.59
sure,17.0,17.22,15.86,15.95,16.98,14.93
faq,0.0,1.91,1.87,1.77,1.7,2.49
trade,51.0,50.69,50.39,55.83,55.17,58.07
edition,124.0,117.64,118.51,120.51,133.26,146.02
cars,82.0,85.12,87.72,83.29,80.64,78.82
messages,75.0,71.73,71.85,68.23,73.0,71.35
marketing,109.0,126.25,120.38,117.85,115.44,135.23
tell,37.0,37.3,36.39,38.1,35.65,35.67
further,237.0,252.49,250.09,262.29,260.58,261.34
updated,77.0,73.64,77.45,74.43,73.85,72.18
association,169.0,163.55,160.5,157.73,151.94,146.02
able,387.0,389.26,387.26,375.71,376.87,357.58
having,170.0,185.54,178.23,170.13,174.85,176.71
provides,329.0,327.09,326.6,319.89,306.42,310.29
david,103.0,99.47,89.58,88.61,90.82,89.6
fun,18.0,18.17,16.8,15.06,16.98,16.59
already,141.0,145.38,150.24,151.53,148.54,135.23
green,52.0,46.86,46.66,48.74,55.17,54.76
studies,104.0,96.6,97.98,109.88,111.19,116.15
close,93.0,104.25,107.31,116.08,115.44,111.17
common,306.0,294.58,295.81,300.39,293.68,289.55
drive,106.0,104.25,97.98,111.65,110.34,111.17
specific,402.0,394.04,389.13,378.37,387.9,393.25
several,408.0,417.0,432.98,439.51,441.38,453.81
gold,30.0,31.56,33.59,57.6,61.96,63.88
feb,15.0,14.35,14.0,10.63,9.34,8.3
living,53.0,50.69,49.46,54.94,54.32,55.59
sep,8.0,7.65,8.4,8.86,8.49,7.47
collection,184.0,173.11,175.43,174.57,172.31,175.05
called,754.0,716.36,725.06,715.1,718.08,706.03
short,149.0,146.33,137.17,132.92,134.11,131.91
arts,49.0,47.82,47.59,46.96,48.38,44.8
lot,48.0,45.91,45.72,45.19,46.68,42.31
ask,34.0,31.56,30.79,30.13,30.56,31.53
