Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01,Growth Rate (%)
screenshot,23.84,23.25,24.91,23.45,26.24,32.21,35.10906040268457
interstate,23.84,26.58,34.65,34.1,32.53,32.21,35.10906040268457
cattle,93.08,139.52,139.69,132.15,125.94,125.72,35.06660936828535
hispanic,21.57,26.58,27.07,25.58,29.39,29.09,34.863235975892444
lauren,19.3,22.15,20.58,19.18,23.09,25.98,34.611398963730565
bikes,36.32,38.76,42.23,46.89,44.08,48.84,34.47136563876653
stripes,68.11,87.48,85.55,85.26,85.01,91.44,34.25341359565409
warriors,48.81,46.51,58.48,58.61,61.92,65.46,34.11186232329439
packs,120.32,127.34,133.2,142.81,163.72,161.05,33.851396276595764
shortcuts,14.76,15.5,15.16,15.99,18.89,19.74,33.73983739837397
wicked,14.76,22.15,20.58,20.25,19.94,19.74,33.73983739837397
wool,54.48,75.3,73.64,74.6,73.46,72.73,33.49853157121881
rip,37.46,36.54,42.23,45.83,46.18,49.87,33.128670581954076
televisions,12.49,13.29,14.08,15.99,16.79,16.62,33.06645316253003
sip,12.49,13.29,12.99,12.79,12.59,16.62,33.06645316253003
charms,12.49,12.18,14.08,14.92,15.74,16.62,33.06645316253003
bald,12.49,13.29,12.99,15.99,15.74,16.62,33.06645316253003
feelings,72.65,75.3,85.55,85.26,92.35,96.63,33.00757054370267
sacred,70.38,74.19,74.72,75.67,94.45,93.51,32.864450127877255
nonprofit,57.89,63.12,70.39,72.47,75.56,76.89,32.82086716185869
hearts,45.4,55.37,58.48,60.75,59.82,60.26,32.73127753303965
merchants,22.7,22.15,29.24,28.77,30.43,30.13,32.73127753303965
pension,22.7,22.15,23.82,26.64,26.24,30.13,32.73127753303965
griffin,68.11,73.08,76.89,81.0,89.2,90.4,32.72647188371752
medicines,32.92,36.54,34.65,40.5,41.98,43.64,32.56379100850546
praise,104.43,118.48,127.78,134.28,132.23,138.19,32.327875131667135
madonna,20.43,22.15,25.99,25.58,25.19,27.02,32.256485560450315
wishing,30.65,29.9,31.4,29.84,40.93,40.52,32.20228384991845
guru,10.22,9.97,9.75,10.66,10.49,13.51,32.191780821917796
subscribers,28.38,34.33,31.4,34.1,35.68,37.41,31.818181818181813
candy,44.27,44.29,50.9,55.42,54.57,58.19,31.44341540546644
mini,261.07,275.73,299.96,313.32,322.19,342.89,31.340253571838968
disabilities,31.78,31.01,37.9,43.69,39.88,41.56,30.774071743234742
hitachi,31.78,37.65,42.23,39.43,41.98,41.56,30.774071743234742
floyd,31.78,34.33,35.74,36.23,37.78,41.56,30.774071743234742
