Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01,Growth Rate (%)
granny,5.26,6.35,7.42,7.27,7.16,7.06,34.22053231939163
fuck,2.63,5.08,3.71,3.64,3.58,3.53,34.22053231939163
configuring,2.63,2.54,3.71,3.64,4.77,3.53,34.22053231939163
aol,2.63,3.81,3.71,4.85,3.58,3.53,34.22053231939163
stylish,2.63,3.81,2.47,2.42,2.39,3.53,34.22053231939163
movers,2.63,2.54,2.47,2.42,2.39,3.53,34.22053231939163
favourites,2.63,2.54,2.47,2.42,2.39,3.53,34.22053231939163
gig,2.63,2.54,2.47,3.64,3.58,3.53,34.22053231939163
ours,2.63,2.54,2.47,2.42,2.39,3.53,34.22053231939163
screenshot,5.26,5.08,4.95,4.85,4.77,7.06,34.22053231939163
pgp,2.63,2.54,2.47,3.64,3.58,3.53,34.22053231939163
sender,2.63,2.54,2.47,2.42,2.39,3.53,34.22053231939163
omissions,5.26,6.35,6.18,6.06,5.96,7.06,34.22053231939163
radios,5.26,6.35,7.42,7.27,7.16,7.06,34.22053231939163
dui,2.63,2.54,2.47,2.42,3.58,3.53,34.22053231939163
antigua,5.26,7.62,7.42,7.27,7.16,7.06,34.22053231939163
softball,2.63,3.81,3.71,3.64,3.58,3.53,34.22053231939163
ef,116.95,162.56,158.3,160.03,158.65,156.45,33.77511757161179
adults,459.91,521.97,545.4,564.97,598.8,615.21,33.76747624535235
enemies,80.16,105.41,102.65,103.05,106.16,107.04,33.53293413173654
rebecca,59.13,60.96,59.36,75.17,77.53,78.81,33.282597666159305
text,992.1,1109.99,1130.37,1083.87,1089.05,1322.16,33.268823707287574
profits,153.74,161.29,153.35,161.25,194.43,204.68,33.13386236503187
courier,51.25,48.26,72.97,71.53,70.38,68.23,33.13170731707318
roses,45.99,53.34,60.6,59.41,59.64,61.17,33.00717547292889
violence,103.81,105.41,105.12,121.24,135.98,137.63,32.578749638763114
align,478.31,472.44,482.33,407.36,406.76,634.03,32.556291944554786
syndicate,30.22,34.29,37.1,38.8,39.36,39.99,32.32958305757778
convergence,124.83,190.5,176.85,175.8,174.15,164.68,31.923415845549957
allocation,74.9,80.01,81.62,94.57,95.43,98.81,31.922563417890515
robertson,141.92,149.86,147.17,141.85,141.95,187.03,31.785512965050742
auto,186.59,201.93,210.24,212.17,207.55,245.85,31.759472640548793
dividend,69.64,66.04,66.78,90.93,93.04,91.75,31.748994830557148
informative,42.05,54.61,53.18,50.92,59.64,55.29,31.486325802615937
impacts,763.46,808.99,829.85,933.53,924.44,1001.03,31.117543813690297
broker,17.08,16.51,16.08,18.19,21.47,22.35,30.85480093676817
reef,187.91,185.42,190.46,243.69,231.41,245.85,30.83390985046033
confidential,31.54,36.83,38.34,38.8,40.56,41.17,30.532656943563737
caught,310.11,306.07,387.1,395.24,404.37,404.65,30.48595659604655
stake,169.51,177.8,199.11,213.38,214.71,221.14,30.45838003657601
ge,608.4,591.82,575.08,571.03,557.05,792.83,30.313938198553597
lounge,14.45,15.24,14.84,14.55,15.51,18.82,30.24221453287198
gym,14.45,12.7,16.08,15.76,17.89,18.82,30.24221453287198
wanting,28.91,30.48,32.16,32.73,36.98,37.64,30.197163611207195
