Word,2020-01-01,2021-01-01,2022-01-01,f_star,revised,r
individually,6.91e-06,6.71e-06,7.18e-06,6.81e-06,9.02e-06,0.25626741
battlefield,2.386e-05,2.502e-05,2.616e-05,2.444e-05,2.865e-05,0.09518349
literally,1.067e-05,1.099e-05,1.282e-05,1.083e-05,7.96e-06,-0.37909516
newer,1.57e-05,1.709e-05,1.59e-05,1.64e-05,1.592e-05,0.00125786
kay,5.02e-06,4.27e-06,5.13e-06,4.65e-06,5.31e-06,0.03508772
ecological,1.507e-05,1.587e-05,1.59e-05,1.547e-05,2.069e-05,0.30125786
spice,1.26e-06,1.22e-06,6.15e-06,1.24e-06,5.84e-06,-0.0504065
oval,1.821e-05,1.953e-05,1.744e-05,1.887e-05,1.804e-05,0.03440367
implies,4.4e-06,3.66e-06,2.56e-06,4.03e-06,4.77e-06,0.86328125
cg,6.3e-07,6.1e-07,1.03e-06,6.2e-07,1.06e-06,0.02912621
soma,3.77e-06,3.66e-06,3.08e-06,3.72e-06,3.18e-06,0.03246753
ser,2.51e-06,3.66e-06,3.08e-06,3.09e-06,2.65e-06,-0.13961039
cooler,1.067e-05,1.038e-05,1.18e-05,1.053e-05,1.486e-05,0.25932203
appraisal,3.14e-06,2.44e-06,1.54e-06,2.79e-06,0.0,-1.0
consisting,5.337e-05,5.188e-05,5.796e-05,5.262e-05,5.465e-05,-0.05710835
maritime,3.265e-05,3.235e-05,3.334e-05,3.25e-05,3.873e-05,0.16166767
periodic,2.826e-05,2.624e-05,3.026e-05,2.725e-05,3.183e-05,0.05188367
submitting,2.51e-06,3.05e-06,2.05e-06,2.78e-06,2.65e-06,0.29268293
overhead,3.14e-06,4.27e-06,4.1e-06,3.71e-06,4.77e-06,0.16341463
ascii,6.3e-07,6.1e-07,3.08e-06,6.2e-07,3.18e-06,0.03246753
prospect,7.53e-06,7.32e-06,9.23e-06,7.43e-06,6.37e-06,-0.30985915
shipment,1.88e-06,3.05e-06,3.08e-06,2.47e-06,2.65e-06,-0.13961039
breeding,0.00019402,0.00019285,0.00016771,0.00019343,0.00017879,0.06606642
citations,1.88e-06,2.44e-06,2.05e-06,2.16e-06,1.59e-06,-0.22439024
geographical,2.512e-05,2.319e-05,2.513e-05,2.416e-05,3.024e-05,0.20334262
donor,5.65e-06,6.1e-06,6.15e-06,5.88e-06,5.31e-06,-0.13658537
mozambique,5.02e-06,4.88e-06,9.74e-06,4.95e-06,1.061e-05,0.08932238
tension,1.319e-05,1.282e-05,1.128e-05,1.3e-05,1.539e-05,0.3643617
href,0.0,0.0,0.0,0.0,0.0,
benz,3.77e-06,3.66e-06,5.64e-06,3.72e-06,5.31e-06,-0.05851064
trash,2.51e-06,2.44e-06,2.05e-06,2.48e-06,1.59e-06,-0.22439024
shapes,1.13e-05,1.099e-05,1.282e-05,1.114e-05,1.539e-05,0.20046802
wifi,0.0,0.0,0.0,0.0,0.0,
tier,3.014e-05,3.845e-05,4.616e-05,3.429e-05,4.828e-05,0.04592721
fwd,0.0,0.0,0.0,0.0,0.0,
earl,7.849e-05,8.056e-05,7.591e-05,7.952e-05,7.746e-05,0.02041892
manor,3.077e-05,3.174e-05,3.334e-05,3.125e-05,3.024e-05,-0.0929814
envelope,4.4e-06,5.49e-06,6.15e-06,4.95e-06,5.84e-06,-0.0504065
diane,1.067e-05,1.038e-05,1.077e-05,1.053e-05,1.061e-05,-0.01485608
homeland,8.79e-06,9.76e-06,1.487e-05,9.28e-06,1.592e-05,0.07061197
disclaimers,0.0,0.0,0.0,0.0,0.0,
championships,6.719e-05,7.141e-05,6.667e-05,6.93e-05,7.215e-05,0.08219589
excluded,1.821e-05,1.77e-05,1.898e-05,1.796e-05,2.387e-05,0.25763962
andrea,1.319e-05,1.343e-05,1.59e-05,1.331e-05,1.379e-05,-0.1327044
breeds,6.719e-05,6.53e-05,5.59e-05,6.625e-05,5.571e-05,-0.00339893
rapids,1.695e-05,1.648e-05,1.436e-05,1.671e-05,1.486e-05,0.03481894
disco,1.633e-05,1.587e-05,1.385e-05,1.61e-05,1.379e-05,-0.00433213
sheffield,2.574e-05,3.235e-05,4.154e-05,2.905e-05,4.51e-05,0.08570053
bailey,9.42e-06,9.15e-06,6.67e-06,9.29e-06,6.9e-06,0.03448276
aus,6.3e-07,6.1e-07,1.03e-06,6.2e-07,0.0,-1.0
endif,0.0,0.0,0.0,0.0,0.0,
finishing,3.516e-05,3.479e-05,3.59e-05,3.497e-05,6.632e-05,0.84735376
emotions,1.319e-05,1.282e-05,1.128e-05,1.3e-05,1.751e-05,0.55230496
wellington,1.695e-05,1.709e-05,1.641e-05,1.702e-05,1.432e-05,-0.12736137
incoming,1.26e-06,1.83e-06,2.05e-06,1.55e-06,2.65e-06,0.29268293
