Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01
members,167.0,166.22,172.64,170.68,177.24,177.66
power,78.0,76.72,78.65,76.38,75.44,75.37
while,308.0,309.82,313.62,319.68,317.21,317.64
care,29.0,27.54,26.85,25.46,27.27,27.82
network,90.0,91.47,87.28,89.58,91.8,88.83
down,111.0,109.17,112.21,110.33,108.16,106.78
computer,25.0,25.57,24.94,23.57,23.63,24.23
systems,47.0,47.21,51.79,50.92,49.99,50.25
three,308.0,301.95,310.75,302.7,326.3,328.41
total,100.0,96.39,94.95,99.01,103.62,102.29
place,224.0,222.28,225.39,226.32,221.78,220.73
end,178.0,182.94,181.27,187.66,187.24,190.22
following,202.0,206.54,208.12,211.23,213.6,217.14
download,15.0,14.75,13.43,13.2,13.63,13.46
h,111.0,109.17,110.3,107.5,114.52,111.26
him,371.0,371.78,375.01,379.08,370.84,365.19
without,106.0,103.27,101.66,100.9,102.71,100.5
per,84.0,87.54,89.2,91.47,87.26,87.93
access,35.0,34.42,32.61,34.89,33.63,33.2
think,28.0,27.54,25.9,25.46,24.54,25.12
north,236.0,237.03,234.02,251.78,230.87,226.12
resources,31.0,29.51,28.77,31.12,33.63,33.2
current,91.0,83.6,86.32,79.21,77.26,73.58
posts,7.0,6.88,6.71,6.6,6.36,6.28
big,107.0,106.22,103.58,99.96,94.53,95.11
media,108.0,107.21,106.46,101.84,99.07,100.5
law,191.0,221.3,219.63,225.38,221.78,219.83
control,96.0,92.45,88.24,95.24,95.44,96.01
water,98.0,98.35,96.87,95.24,91.8,91.52
history,352.0,356.04,344.31,335.71,342.66,338.28
pictures,8.0,7.87,7.67,6.6,6.36,6.28
size,38.0,37.37,36.45,35.83,35.45,36.79
art,229.0,233.1,227.31,225.38,218.14,216.25
personal,114.0,117.04,116.05,119.76,118.16,119.34
since,281.0,284.24,278.14,275.36,274.49,273.67
including,289.0,290.14,284.85,283.84,283.58,292.51
guide,26.0,27.54,27.81,27.35,26.36,25.12
shop,22.0,20.65,21.1,18.86,17.27,17.95
directory,11.0,10.82,10.55,10.37,10.0,9.87
board,109.0,108.19,102.62,99.96,101.8,103.19
location,42.0,41.31,41.24,39.61,42.72,42.17
change,74.0,75.73,102.62,102.79,108.16,109.47
white,146.0,145.56,161.13,158.42,159.97,156.13
text,38.0,38.36,40.28,39.61,43.63,42.17
small,135.0,119.01,121.8,122.59,125.43,124.72
rating,16.0,14.75,13.43,13.2,12.72,12.56
rate,34.0,33.44,33.57,33.0,32.72,33.2
government,114.0,119.01,129.48,132.02,149.97,148.05
children,142.0,139.66,142.9,141.45,139.97,140.87
during,475.0,468.17,475.71,479.04,472.64,477.36
usa,71.0,68.85,67.14,69.78,74.53,73.58
return,84.0,88.52,84.4,84.87,86.35,87.04
students,59.0,51.14,53.71,52.81,57.26,65.5
v,144.0,145.56,136.19,135.79,130.88,130.11
shopping,2.0,4.92,2.88,3.77,3.64,6.28
account,19.0,17.7,21.1,20.75,20.0,19.74
times,166.0,167.2,165.92,164.08,164.51,166.0
sites,20.0,19.67,19.18,19.8,22.72,22.43
level,101.0,101.3,116.05,115.99,114.52,116.65
digital,66.0,63.93,58.5,56.58,54.54,52.94
profile,20.0,19.67,20.14,18.86,19.09,17.05
previous,62.0,60.0,59.46,57.52,55.44,56.53
form,110.0,110.16,108.38,111.27,109.98,110.37
events,93.0,90.49,82.48,80.15,80.89,78.96
love,124.0,127.86,132.35,130.13,123.61,122.03
old,131.0,130.81,134.27,135.79,134.52,133.7
john,256.0,263.59,257.04,252.72,246.32,247.65
main,115.0,117.04,120.85,121.65,120.89,120.24
call,35.0,33.44,34.53,32.06,29.99,30.51
hours,62.0,62.95,59.46,60.35,64.53,64.6
image,34.0,33.44,32.61,33.0,30.9,30.51
department,110.0,117.04,114.13,112.22,137.25,138.18
